"id"	"ru_meaning"	"ru_meaning_raw"	"ru_meaning_lit"	"ru_notes"	"ru_cognate"
"28840"	"(виная) предложение; начальное заявление"	""	"провозглашенный"	""	""
"28841"	""	"(виная) юридическая процедура с одним предложением; юридическое действие только с первоначальным заявлением"	""	""	""
"28842"	"(виная) имеющий предложение и три объявления"	"имея предложение и три объявления; буквально с предложением и четвёртым"	"с предложением в качестве четвёртого"	""	""
"28843"	""	"(виная) юридическая процедура с выдвижением и тремя объявлениями; досл. действие с выдвижением и четвертым"	""	""	""
"28844"	"(виная) имеющий предложение и одно объявление"	"(виная) имеющий предложение и одно объявление; досл. с предложением и вторым"	"с предложением как вторым"	""	""
"28845"	""	"(виная) юридическая процедура с одним предложением и одним объявлением; досл. действие с предложением и вторым"	""	""	""
"28846"	""	"движущийся"	""	""	""
"28847"	""	"лишённый предложения; без правильного начального заявления"	""	""	""
"28848"	"узнав; поняв"	""	""	""	""
"28849"	""	"узнав; выяснив; поняв"	""	""	""
"28850"	""	"известив, объявив"	""	""	""
"28851"	""	"уведя, объявив"	""	""	""
"28852"	"узнает; поймет"	""	""	""	""
"28853"	""	"(грам) √ñā (знать)"	""	""	""
"28854"	"познание; понимание; озарение"	""	""	""	""
"28855"	""	"который порождает понимание; который вызывает прозрение; ведущий к знанию; досл. создающий знание"	""	""	""
"28856"	"приводящий к знанию; дающий знание"	""	""	""	""
"28857"	""	"глаз знания"	""	""	""
"28858"	""	"поведение знания"	""	""	""
"28859"	""	"сеть знаний"	""	""	""
"28860"	""	"факт обладания знанием"	""	""	""
"28861"	"полное понимание; знание и видение"	""	""	""	""
"28862"	""	"для полного понимания; для понимания и прозрения"	""	""	""
"28863"	""	"личное приобретение знания и видения; приобретение понимания и прозрения"	""	""	""
"28864"	""	"обретение понимания и прозрения; приобретение знания и видения; (комм) получение знания и видения посредством божественного зрения"	""	""	""
"28865"	""	"ради чистоты понимания и прозрения; с целью очищения знания и видения"	""	""	""
"28866"	""	"чистота понимания и прозрения; очищение знания и видения"	""	""	""
"28867"	"особенность в знании и видении; достижение понимания и проницательности"	""	""	""	""
"28868"	""	"для пользы понимания и прозрения; для преимущества знания и видения"	""	""	""
"28869"	""	"знающий, понимающий, проницательный"	""	""	""
"28870"	""	"характеристика, противоположная пониманию"	""	""	""
"28871"	""	"производство, отличительное, мудрость"	""	""	""
"28872"	""	"соприкосновение через мудрость; касание пониманием"	""	""	""
"28873"	""	"последователь знания; привязанный к интеллектуальному пониманию; связанный с знаниями"	""	""	""
"28874"	""	"умственная сила; способность к пониманию"	""	""	""
"28875"	""	"связанный, обладающий, знание"	""	""	""
"28876"	""	""	""	""	""
"28877"	"наделенный пониманием; (комм) кто узнал причину"	""	"ставший мудростью"	""	""
"28878"	""	"мера понимания; простое знание"	""	""	""
"28879"	"для понимания; достаточно для знания"	""	""	""	""
"28880"	"искусный в понимании; опытный в проницательности"	""	""	""	""
"28881"	""	"связанный с знанием"	""	""	""
"28882"	""	"приятный, комфортный"	""	""	""
"28883"	"Саньютта Никая 36.25 (SN36.25)"	""	""	""	""
"28884"	"Саньютта Никая 51.9 (SN51.9)"	""	""	""	""
